timestamp, utilization.gpu [%], memory.used [MiB]
2026/08/07 16:20:26.820, 0 %, 1 MiB
2026/08/07 16:20:27.820, 0 %, 1 MiB
2026/08/07 16:20:28.820, 0 %, 1 MiB
2026/08/07 16:20:29.820, 0 %, 1 MiB
2026/08/07 16:20:30.821, 0 %, 1 MiB
2026/08/07 16:20:31.821, 0 %, 1 MiB
2026/08/07 16:20:32.821, 0 %, 1 MiB
2026/08/07 16:20:33.821, 0 %, 1 MiB
2026/08/07 16:20:34.821, 0 %, 1 MiB
2026/08/07 16:20:35.822, 0 %, 1 MiB
2026/08/07 16:20:36.822, 0 %, 1 MiB
2026/08/07 16:20:37.822, 0 %, 1 MiB
2026/08/07 16:20:38.822, 0 %, 1 MiB
2026/08/07 16:20:39.822, 0 %, 1 MiB
2026/08/07 16:20:40.823, 0 %, 1 MiB
2026/08/07 16:20:41.823, 0 %, 1 MiB
2026/08/07 16:20:42.823, 0 %, 1 MiB
2026/08/07 16:20:43.823, 0 %, 1 MiB
2026/08/07 16:20:44.823, 0 %, 1 MiB
2026/08/07 16:20:45.824, 0 %, 1 MiB
2026/08/07 16:20:46.824, 0 %, 1 MiB
2026/08/07 16:20:47.824, 0 %, 1 MiB
2026/08/07 16:20:48.824, 0 %, 1 MiB
2026/08/07 16:20:49.824, 0 %, 1 MiB
2026/08/07 16:20:50.825, 0 %, 1 MiB
2026/08/07 16:20:51.825, 0 %, 1 MiB
2026/08/07 16:20:52.825, 0 %, 1 MiB
2026/08/07 16:20:53.825, 0 %, 1 MiB
2026/08/07 16:20:54.825, 0 %, 1 MiB
2026/08/07 16:20:55.826, 0 %, 1 MiB
2026/08/07 16:20:56.826, 0 %, 1 MiB
2026/08/07 16:20:57.826, 0 %, 1 MiB
2026/08/07 16:20:58.826, 0 %, 1 MiB
2026/08/07 16:20:59.826, 0 %, 1 MiB
2026/08/07 16:21:00.827, 0 %, 1 MiB
2026/08/07 16:21:01.827, 0 %, 1 MiB
2026/08/07 16:21:02.827, 0 %, 1 MiB
2026/08/07 16:21:03.827, 0 %, 1 MiB
2026/08/07 16:21:04.827, 0 %, 1 MiB
2026/08/07 16:21:05.828, 0 %, 1 MiB
2026/08/07 16:21:06.828, 0 %, 1 MiB
2026/08/07 16:21:07.828, 0 %, 1 MiB
2026/08/07 16:21:08.828, 0 %, 1 MiB
2026/08/07 16:21:09.828, 0 %, 1 MiB
2026/08/07 16:21:10.829, 0 %, 1 MiB
2026/08/07 16:21:11.829, 0 %, 1 MiB
2026/08/07 16:21:12.829, 0 %, 1 MiB
2026/08/07 16:21:13.829, 0 %, 1 MiB
2026/08/07 16:21:14.829, 0 %, 1 MiB
2026/08/07 16:21:15.830, 0 %, 1 MiB
2026/08/07 16:21:16.830, 0 %, 1 MiB
2026/08/07 16:21:17.830, 0 %, 1 MiB
2026/08/07 16:21:18.830, 0 %, 1 MiB
2026/08/07 16:21:19.830, 0 %, 1 MiB
2026/08/07 16:21:20.831, 0 %, 1 MiB
2026/08/07 16:21:21.831, 0 %, 1 MiB
2026/08/07 16:21:22.832, 0 %, 1 MiB
2026/08/07 16:21:23.832, 0 %, 1 MiB
2026/08/07 16:21:24.832, 0 %, 1 MiB
2026/08/07 16:21:25.832, 0 %, 1 MiB
2026/08/07 16:21:26.833, 0 %, 1 MiB
2026/08/07 16:21:27.834, 0 %, 1 MiB
2026/08/07 16:21:28.835, 0 %, 1 MiB
2026/08/07 16:21:29.835, 0 %, 1 MiB
2026/08/07 16:21:30.888, 77 %, 1466 MiB
2026/08/07 16:21:31.888, 57 %, 2020 MiB
2026/08/07 16:21:32.888, 65 %, 2352 MiB
2026/08/07 16:21:33.889, 76 %, 2500 MiB
2026/08/07 16:21:34.889, 69 %, 2914 MiB
2026/08/07 16:21:35.889, 47 %, 3210 MiB
